from,to,total,jury,public
al,rs,1,1,0
al,se,1,0,1
at,no,1,0,1
au,no,1,0,1
au,ru,1,1,0
az,bg,1,1,0
be,no,1,0,1
be,pt,1,1,0
bg,se,1,0,1
cy,pt,1,1,0
cz,lt,1,0,1
de,no,1,0,1
dk,il,1,1,0
dk,ua,1,0,1
ee,mt,1,1,0
ee,se,1,0,1
es,gr,1,1,0
fi,mt,1,1,0
fr,fi,1,0,1
gb,be,1,1,0
ge,mt,1,1,0
hr,al,1,0,1
hr,pt,1,1,0
ie,bg,1,1,0
ie,se,1,0,1
il,bg,1,1,0
il,is,1,0,1
is,no,1,0,1
lt,il,1,1,0
lt,se,1,0,1
lv,se,1,0,1
md,cy,1,1,0
mt,sm,1,1,0
nl,al,1,1,0
no,az,1,0,1
no,gr,1,1,0
pl,se,1,0,1
pt,nl,1,1,0
ro,de,1,1,0
ro,il,1,0,1
ru,is,1,0,1
se,be,1,1,0
se,rs,1,0,1
si,il,1,1,0
sm,ru,1,0,1
ua,no,1,1,0
al,az,2,2,0
at,de,2,2,0
au,bg,2,2,0
au,rs,2,0,2
az,pt,2,2,0
bg,nl,2,2,0
ch,az,2,2,0
ch,ua,2,0,2
cy,ch,2,2,0
cy,il,2,0,2
es,fi,2,0,2
fi,gr,2,2,0
fi,md,2,0,2
fr,cy,2,2,0
gb,es,2,2,0
gb,no,2,0,2
ge,md,2,0,2
ge,nl,2,2,0
gr,az,2,0,2
hr,az,2,0,2
hr,lt,2,2,0
ie,az,2,2,0
ie,pt,2,0,2
is,ru,2,2,0
it,md,2,0,2
it,no,2,2,0
lt,bg,2,2,0
lv,mt,2,2,0
lv,no,2,0,2
md,lt,2,0,2
md,pt,2,2,0
mk,fi,2,0,2
mk,ru,2,1,1
nl,az,2,2,0
nl,it,2,0,2
pt,gr,2,0,2
ro,bg,2,2,0
rs,ch,2,1,1
rs,cy,2,0,2
rs,il,2,2,0
ru,lt,2,0,2
si,no,2,0,2
sm,al,2,2,0
ua,pt,2,2,0
ua,se,2,0,2
at,lt,3,0,3
at,nl,3,3,0
au,fi,3,0,3
au,nl,3,3,0
az,be,3,3,0
az,sm,3,0,3
